ace                  6.4.3            The ADAPTIVE Communication Environment
ecm                  5.32.0           Extra CMake Modules (ECM), extra modules and scri...
eigen3               3.3.3-2          C++ template library for linear algebra: matrices...
entityx              1.2.0            EntityX - A fast, type-safe C++ Entity-Component ...
evpp                 0.5.0            A modern C++ network library based on libevent fo...
expat                2.1.1-1          XML parser library written in C
fastlz               1.0              A lightning-fast lossless compression library
ffmpeg               3.2.4-2          a library to decode, encode, transcode, mux, demu...
fftw3                3.3.6-p12        FFTW is a C subroutine library for computing the ...
flatbuffers          1.6.0            Memory Efficient Serialization Library http://goo...
fltk                 1.3.4-4          FLTK (pronounced fulltick) is a cross-platform C+...
fmt                  3.0.1-4          Formatting library for C++. It can be used as a s...
folly                v2017.05.08.00-2 An open-source C++ library developed and used at ...
fontconfig           2.12.3           Library for configuring and customizing font access.
freeglut             3.0.0            Open source implementation of GLUT with source an...
freeimage            3.17.0-1         Support library for graphics image formats
freerdp              2.0.0-beta1+android11~vcpkg1 A free implementation of the Remote Desktop Proto...
freetype             2.8              A library to render fonts.
gdal                 1.11.3-3         The Geographic Data Abstraction Library for readi...
gdcm2                2.6.8            Grassroots DICOM library
gdk-pixbuf           2.36.6           Image loading library.
geographiclib        1.47-patch1-3    a small set of C++ classes for performing convers...
geos                 3.5.0            Geometry Engine Open Source
gettext              0.19-1           The GNU gettext utilities are a set of tools that...
gflags               2.2.0-3          A C++ library that implements commandline flags p...
giflib               5.1.4            A library for reading and writing gif images.
glbinding            2.1.1-1          glbinding is an MIT licensed, cross-platform C++ ...
glew                 2.0.0-1          The OpenGL Extension Wrangler Library (GLEW) is a...
glfw3                3.2.1-1          GLFW is a free, Open Source, multi-platform libra...
gli                  0.8.2-1          OpenGL Image (GLI) https://gli.g-truc.net
glib                 2.52.2           Portable, general-purpose utility library.
glm                  0.9.8.1          OpenGL Mathematics (GLM) https://glm.g-truc.net
globjects            1.0.0            C++ library strictly wrapping OpenGL objects. <ht...
glog                 0.3.4-0472b91-1  C++ implementation of the Google logging module
glslang              1c573fbcfba6b3d631008b1babc838501ca925d3-1 Khronos reference front-end for GLSL and ESSL, an...
graphicsmagick       1.3.25           Image processing library
grpc                 1.3.1-1          An RPC library and framework
gsl                  2.3-1            The GNU Scientific Library is a numerical library...
gtest                1.8              GoogleTest and GoogleMock testing frameworks.
gtk                  3.22.15          Portable library for creating graphical user inte...
harfbuzz             1.4.6-1          HarfBuzz OpenType text shaping engine
hdf5                 1.10.0-patch1-1  HDF5 is a data model, library, and file format fo...
hpx                  1.0.0-4          The C++ Standards Library for Concurrency and Par...
http-parser          2.7.1-1          HTTP Parser.
hwloc                1.11.7-1         Portable Hardware Locality (hwloc) The Portable H...
hypre                2.11.1           SCALABLE LINEAR SOLVERS AND MULTIGRID METHODS
icu                  59.1-1           Mature and widely used Unicode and localization l...
jasper               2.0.13           Open source implementation of the JPEG-2000 Part-...
jbigkit              2.1              A software implementation of the JBIG1 data compr...
jsoncpp              1.7.7            jsoncpp is an implementation of a JSON reader and...
jxrlib               1.1-2            Open source implementation of the jpegxr image fo...
lcms                 2.8              Little CMS.
libarchive           3.3.1-1          Library for reading and writing streaming archives
libbson              1.6.2-1          libbson is a library providing useful routines re...
libccd               2.0.0            Library for collision detection between two conve...
libepoxy             1.4.3            Epoxy is a library for handling OpenGL function p...
libevent             2.1.8-1          An event notification library
libffi               3.1              Portable, high level programming interface to var...
libflac              1.3.2-2          Library for manipulating FLAC files
libgd                2.2.4-2          Open source code library for the dynamic creation...
libiconv             1.14             GNU Unicode text conversion
libjpeg-turbo        1.5.1-1          libjpeg-turbo is a JPEG image codec that uses SIM...
liblzma              5.2.3-1          Compression library with an API similar to that o...
libmad               0.15.1           high-quality MPEG audio decoder
libmariadb           2.3.2            MariaDB Connector/C is used to connect C/C++ appl...
libmodplug           0.8.9.0          The ModPlug mod file playing library.
libmysql             5.7.17-1         A MySQL client library for C development.
libnice              0.1.13           Libnice is an implementation of the IETF's Intera...
libodb               2.4.0            ODB library, base runtime for the ODB ORM solution
libodb-pgsql         2.4.0            Description: PostgreSQL support for the ODB ORM l...
libodb-sqlite        2.4.0            Sqlite support for the ODB ORM library
libogg               1.3.2            Ogg is a multimedia container format, and the nat...
libp7-baical         4.1              P7 is a library for high-speed sending telemetry ...
libpng               1.6.28-1         libpng is a library implementing an interface for...
libpopt              1.16-10~vcpkg1   Library for parsing command line parameters
libpq                9.6.1            The official database access API of postgresql
libraw               0.18.0-1         raw image decoder library
libsigcpp            2.10             Typesafe callback framework for C++
libsndfile           libsndfile-1.0.29-6830c42 Library to read, write and manipulate many soundf...
libssh2              1.8.0-1          The SSH library
libtheora            1.1.1            Theora is a free and open video compression forma...
libusb               1.0.21-fc99620   A library for USB device access from Windows user...
libusb-win32         1.2.6.0          Allows user space applications to access many USB...
libuv                1.12.0           libuv is a multi-platform support library with a ...
libvorbis            1.3.5-143caf4-2  Ogg Vorbis is a fully open, non-proprietary, pate...
libvpx               1.6.1-1          The reference software implementation for the vid...
libwebm              1.0.0.27-1       WebM File Parser
libwebp              0.6.0-1          Lossy compression of digital photographic images.
libwebsockets        2.0.0-1          Libwebsockets is a lightweight pure C library bui...
libxml2              2.9.4-1          Libxml2 is the XML C parser and toolkit developed...
libxslt              1.1.29           Libxslt is a XSLT library implemented in C for XS...
lmdb                 0.9.18-2         LMDB is an extraordinarily fast, memory-efficient...
log4cplus            1.1.3-RC7        A simple to use C++ logging API providing thread-...
lpeg                 1.0.1-2          LPeg is a pattern-matching library for Lua, based...
lua                  5.3.4            a powerful, fast, lightweight, embeddable scripti...
luafilesystem        1.6.3            LuaFileSystem is a Lua library developed to compl...
lz4                  1.7.5            Lossless compression algorithm, providing compres...
lzo                  2.10-1           Lossless data compression library
mdnsresponder        765.30.11        The mDNSResponder project is a component of Bonjo...
metis                5.1.0            Serial Graph Partitioning and Fill-reducing Matri...
mongo-c-driver       1.6.2            Client library written in C for MongoDB.
mongo-cxx-driver     3.1.1            MongoDB C++ Driver.
mpg123               1.24.0-1         mpg123 is a real time MPEG 1.0/2.0/2.5 audio play...
mpir                 3.0.0-2          Multiple Precision Integers and Rationals.
ms-gsl               20170425-8b320e3f5d016f953e55dfc7ec8694c1349d3fe4 Microsoft implementation of the Guidelines Suppor...
msgpack              2.1.1            MessagePack is an efficient binary serialization ...
msmpi                8.0-1            Microsoft MPI
nana                 1.5.1-hotfix-42f8985 Cross-platform library for GUI programming in mod...
nanodbc              2.12.4           A small C++ wrapper for the native C ODBC API.
netcdf-c             4.4.1.1-1        a set of self-describing, machine-independent dat...
netcdf-cxx4          4.3.0            a set of machine-independent data formats that su...
nlohmann-json        2.1.1            JSON for Modern C++
octomap              cefed0c1d79afafa5aeb05273cf1246b093b771c-1 An Efficient Probabilistic 3D Mapping Framework B...
ode                  0.15.1           Open Dynamics Engine
ogre                 1.9.0            3D Object-Oriented Graphics Rendering Engine
openal-soft          1.17.2           OpenAL Soft is an LGPL-licensed, cross-platform, ...
openblas             v0.2.19-2        OpenBLAS is an optimized BLAS library based on Go...
opencv               3.2.0-1          computer vision library
opengl               0.0-3            Open Graphics Library (OpenGL)[3][4][5] is a cros...
openjpeg             2.1.2-1          JPEG 2000 image library
openssl              1.0.2k-5         OpenSSL is an open source project that provides a...
openvr               1.0.5            an API and runtime that allows access to VR hardw...
opus                 1.1.4            Totally open, royalty-free, highly versatile audi...
paho-mqtt            Version 1.1.0 (Paho 1.2) Paho project provides open-source client implemen...
pango                1.40.6           Text and font handling library.
parmetis             4.0.3            Parallel Graph Partitioning and Fill-reducing Mat...
pcre                 8.40-1           Perl Compatible Regular Expresions
pcre2                10.23            PCRE2 is a re-working of the original Perl Compat...
pdcurses             3.4-1            Public Domain Curses - a curses library for envir...
physfs               2.0.3            a library to provide abstract access to various a...
picojson             1.3.0            A header-file-only, JSON parser serializer in C++.
pixman               0.34.0-1         Pixman is a low-level software library for pixel ...
plibsys              0.0.3            Highly portable C system library: threads and syn...
poco                 1.7.8            Modern, powerful open source C++ class libraries ...
podofo               0.9.5            PoDoFo is a library to work with the PDF file format
portaudio            19.0.6.00-1      PortAudio Portable Cross-platform Audio I/O API P...
pqp                  1.3-1            a proximity query package
proj                 4.9.3            PROJ.4 library for cartographic projections
protobuf             3.3.0            Protocol Buffers - Google's data interchange format
pugixml              1.8.1            C++ XML processing library
pybind11             2.1.0            pybind11 is a lightweight header-only library tha...
python3              3.6.1            The Python programming language as an embeddable ...
qca                  2.2.0            Qt Cryptographic Architecture (QCA). Sources: htt...
qt5                  5.8-3            Qt5 application framework main components. Webeng...
qwt                  6.1.3-1          Qt widgets library for technical applications
ragel                6.10             Ragel State Machine Compiler
range-v3             20151130-vcpkg4  Range library for C++11/14/17.
rapidjson            1.1.0            A fast JSON parser/generator for C++ with both SA...
rapidxml             1.13             RapidXml is an attempt to create the fastest XML ...
redshell             1.0.0            RedShell C++ SDK. Steam attribution tracking, www...
rttr                 0.9.5            an easy and intuitive way to use reflection in C++
rxcpp                4.0.0-1          Reactive Extensions for C++
sciter               4.0.1.0          Sciter is an embeddable HTML/CSS/scripting engine.
sdl2                 2.0.5-2          Simple DirectMedia Layer is a cross-platform deve...
sdl2-image           2.0.1            SDL_image is an image file loading library. It lo...
sdl2-mixer           2.0.1            Multi-channel audio mixer library for SDL.
sdl2-net             2.0.1            Networking library for SDL
sdl2-ttf             2.0.14           A library for rendering TrueType fonts with SDL
sery                 1.0.0            Simple binary (de)serialization library
sfml                 2.4.2            Simple and fast multimedia library
shaderc              2df47b51d83ad83cbc2e7f8ff2b56776293e8958 A collection of tools, libraries and tests for sh...
signalrclient        1.0.0-beta1      C++ client for SignalR.
smpeg2               2.0.0            SDL MPEG Player Library
snappy               1.1.4-1          A fast compressor/decompressor.
soci                 2016.10.22       SOCI database access library
spdlog               0.13.0           Very fast, header only, C++ logging library
spirv-tools          1.1-f72189c249ba143c6a89a4cf1e7d53337b2ddd40 API and commands for processing SPIR-V modules
sqlite-modern-cpp    2.4              The C++14 wrapper around sqlite library
sqlite3              3.19.1-1         SQLite is a software library that implements a se...
stb                  1.0              stb single-file public domain libraries for C/C++
strtk                2017.01.02-1e2960f robust, optimized and portable string processing ...
suitesparse          4.5.5            algebra library
sundials             2.7.0            SUNDIALS (SUite of Nonlinear and DIfferential/ALg...
szip                 2.1-1            Szip compression software, providing lossless com...
tacopie              2.4.1            Tacopie is a TCP Client & Server C++11 library
taglib               1.11.1-2         TagLib Audio Meta-Data Library
tbb                  2017_U7          Intel's Threading Building Blocks.
tclap                1.2.1            Templatized command-line argument parser for C++
think-cell-range     e2d3018          think-cell's range library <https://think-cell.co...
thrift               20172805-72ca60debae1d9fb35d9f0085118873669006d7f Apache Thrift is a software project spanning a va...
tiff                 4.0.7-1          A library that supports the manipulation of TIFF ...
tinyexr              v0.9.5-d16ea6    Library to load and save OpenEXR(.exr) images
tinyxml2             3.0.0            A simple, small, efficient, C++ XML parser
utfcpp               2.3.4            UTF-8 with C++ in a Portable Way
uvatlas              sept2016         UVAtlas isochart texture atlas
uwebsockets          0.14.3           Highly scalable cross-platform WebSocket & HTTP l...
vtk                  7.1.0            Software system for 3D computer graphics, image p...
websocketpp          0.7.0            Library that implements RFC6455 The WebSocket Pro...
wt                   3.3.7-1          Wt is a C++ library for developing web applications
wtl                  9.1              Windows Template Library (WTL) is a C++ library f...
wxwidgets            3.1.0-1          wxWidgets is a widget toolkit and tools library f...
xalan-c              1.11-1           Xalan is an XSLT processor for transforming XML d...
xerces-c             3.1.4-3          Xerces-C++ is a XML parser, for parsing, generati...
xlnt                 0.9.4            Cross-platform user-friendly xlsx library for C++14
xxhash               0.6.2            Extremely fast hash algorithm
yaml-cpp             0.5.4 candidate  yaml-cpp is a YAML parser and emitter in C++ matc...
zeromq               4.2.2            The ZeroMQ lightweight messaging kernel is a libr...
zlib                 1.2.11           A compression library
zstd                 1.2.0            Zstandard - Fast real-time compression algorithm ...
zziplib              0.13.62          library providing read access on ZIP-archives

If your library is not listed, please open an issue at and/or consider making a pull request:
    https://github.com/Microsoft/vcpkg/issues
