ace                  6.4.3            The ADAPTIVE Communication Environment
anax                 2.1.0-1          An open source C++ entity system. <https://github...
antlr4               4.6-1            ANother Tool for Language Recognition
apr                  1.5.2            The Apache Portable Runtime (APR) is a C library ...
arrow                apache-arrow-0.4.0-1 Apache Arrow is a columnar in-memory analytics la...
asio                 1.10.8           Asio is a cross-platform C++ library for network ...
assimp               3.3.1            The Open Asset import library
atk                  2.24.0           GNOME Accessibility Toolkit
atlmfc               0                a stub package that ensures VS has ATL/MFC instal...
aws-sdk-cpp          1.0.61           AWS SDK for C++
azure-storage-cpp    3.0.0-2          Microsoft Azure Storage Client SDK for C++ A clie...
beast                v40              HTTP and WebSocket, header-only using Boost.Asio ...
benchmark            1.1.0            A library to support the benchmarking of function...
bond                 5.3.1            Bond is a cross-platform framework for working wi...
boost                1.64-5           Peer-reviewed portable C++ source libraries
boost-di             1.0.1            C++14 Dependency Injection Library.
botan                2.0.1            A cryptography library written in C++11
box2d                2.3.1-374664b    Box2D (http://box2d.org) is an open source C++ en...
brotli               0.6.0            a generic-purpose lossless compression algorithm ...
bullet3              2.86.1           Bullet Physics is a professional collision detect...
bzip2                1.0.6-1          High-quality data compressor.
c-ares               1.12.1-dev-40eb41f-1 A C library for asynchronous DNS requests
cairo                1.15.4-2         Cairo is a 2D graphics library with support for m...
cairomm              1.15.3-1         A C++ wrapper for the cairo graphics library
catch                1.9.4            C++ Automated Test Cases in Headers
cereal               1.2.1            a header-only C++11 serialization library (built ...
ceres                1.12.0           non-linear optimization package
chakracore           1.4.3            Core part of the Chakra Javascript engine
charls               2.0.0            CharLS, a C++ JPEG-LS library implementation.
clapack              3.2.1            CLAPACK (f2c'ed version of LAPACK)
clockutils           1.1.1-3651f232c27074c4ceead169e223edf5f00247c5 A lightweight c++ library for commonly needed tas...
constexpr            1.0              Small MIT License Library of general stdlib funct...
cpp-redis            3.5.1            cpp-redis is a C++11 Asynchronous Multi-Platform ...
cpprestsdk           2.9.0-2          C++11 JSON, REST, and OAuth library The C++ REST ...
cppunit              1.13.2           CppUnit is the C++ port of the famous JUnit frame...
cppwinrt             feb2017_refresh-14393 C++/WinRT is a standard C++ language projection f...
cppzmq               4.2.1            lightweight messaging kernel, C++ bindings
cryptopp             5.6.5            Crypto++ is a free C++ class library of cryptogra...
cuda                 8.0-1            A parallel computing platform and programming model
curl                 7.51.0-3         A library for transferring data with URLs
decimal-for-cpp      1.12             Decimal data type support, for COBOL-like fixed-p...
dimcli               1.0.3            C++ command line parser toolkit
directxmesh          oct2016          DirectXMesh geometry processing library
directxtex           dec2016          DirectXTex texture processing library
directxtk            dec2016-1        A collection of helper classes for writing Direct...
directxtk12          dec2016          A collection of helper classes for writing Direct...
dlfcn-win32          1.1.1            dlfcn-win32 is an implementation of dlfcn for Win...
dlib                 19.4-3           Modern C++ toolkit containing machine learning al...
doctest              1.2.0            The fastest feature-rich C++ single-header testin...
double-conversion    2.0.1-1          Efficient binary-decimal and decimal-binary conve...
dx                   1.0.1            A modern C++ library for DirectX programming
dxut                 11.14-2          A "GLUT"-like framework for Direct3D 11.x Win32 d...
