
name                       x64-windows x64-uwp arm64-windows x64-osx x64-linux
----                       ----------- ------- ------------- ------- ---------
abseil                     Pass        Skip    Skip          Skip    Skip     
ace                        Pass        Fail    Fail          Fail    Fail     
alac                       Pass        Fail    Fail          Pass    Pass     
alac-decoder               Pass        Pass    Fail          Pass    Pass     
alembic                    Pass        Skip    Skip          Fail    Fail     
allegro5                   Pass        Skip    Skip          Skip    Skip     
anax                       Pass        Pass    Fail          Pass    Pass     
angle                      Pass        Fail    Fail          Fail    Fail     
antlr4                     Pass        Fail    Fail          Fail    Fail     
apr                        Pass        Fail    Fail          Fail    Fail     
apr-util                   Pass        Skip    Skip          Skip    Skip     
arb                        Pass        Skip    Skip          Skip    Skip     
args                       Pass        Pass    Pass          Pass    Fail     
armadillo                  Pass        Pass    Pass          Pass    Fail     
arrow                      Fail        Skip    Skip          Skip    Skip     
asio                       Pass        Pass    Skip          Pass    Pass     
asmjit                     Pass        Fail    Fail          Pass    Pass     
assimp                     Pass        Pass    Pass          Pass    Pass     
atk                        Pass        Skip    Skip          Skip    Skip     
atkmm                      Pass        Skip    Skip          Skip    Skip     
atlmfc                     Pass        Pass    Pass          Fail    Fail     
aubio                      Skip        Fail    Skip          Skip    Skip     
aurora                     Pass        Pass    Pass          Pass    Pass     
avro-c                     Pass        Skip    Pass          Fail    Fail     
aws-sdk-cpp                Skip        Skip    Skip          Skip    Skip     
azure-storage-cpp          Pass        Fail    Skip          Skip    Skip     
beast                      Pass        Pass    Skip          Pass    Pass     
benchmark                  Pass        Fail    Fail          Pass    Pass     
berkeleydb                 Pass        Fail    Fail          Fail    Fail     
bigint                     Pass        Pass    Pass          Pass    Pass     
blaze                      Pass        Skip    Skip          Skip    Skip     
blosc                      Pass        Fail    Skip          Pass    Pass     
bond                       Pass        Fail    Skip          Fail    Fail     
boost                      Pass        Pass    Skip          Pass    Pass     
boost-accumulators         Pass        Pass    Skip          Pass    Pass     
boost-algorithm            Pass        Pass    Skip          Pass    Pass     
boost-align                Pass        Pass    Pass          Pass    Pass     
boost-any                  Pass        Pass    Pass          Pass    Pass     
boost-array                Pass        Pass    Pass          Pass    Pass     
boost-asio                 Pass        Pass    Skip          Pass    Pass     
boost-assert               Pass        Pass    Pass          Pass    Pass     
boost-assign               Pass        Pass    Skip          Pass    Pass     
boost-atomic               Pass        Pass    Fail          Pass    Pass     
boost-beast                Pass        Pass    Skip          Pass    Pass     
boost-bimap                Pass        Pass    Skip          Pass    Pass     
boost-bind                 Pass        Pass    Pass          Pass    Pass     
boost-build                Pass        Pass    Pass          Pass    Pass     
boost-callable-traits      Pass        Pass    Pass          Pass    Pass     
boost-chrono               Pass        Pass    Skip          Pass    Pass     
boost-circular-buffer      Pass        Pass    Skip          Pass    Pass     
boost-compatibility        Pass        Pass    Pass          Pass    Pass     
boost-compute              Pass        Pass    Skip          Pass    Pass     
boost-concept-check        Pass        Pass    Pass          Pass    Pass     
boost-config               Pass        Pass    Pass          Pass    Pass     
boost-container            Pass        Pass    Fail          Pass    Pass     
boost-context              Pass        Fail    Skip          Pass    Pass     
boost-conversion           Pass        Pass    Pass          Pass    Pass     
boost-convert              Pass        Pass    Skip          Pass    Pass     
boost-core                 Pass        Pass    Pass          Pass    Pass     
boost-coroutine            Pass        Fail    Skip          Pass    Pass     
boost-coroutine2           Pass        Pass    Skip          Pass    Pass     
boost-crc                  Pass        Pass    Pass          Pass    Pass     
boost-date-time            Pass        Pass    Skip          Pass    Pass     
boost-detail               Pass        Pass    Pass          Pass    Pass     
boost-di                   Pass        Pass    Pass          Pass    Pass     
boost-disjoint-sets        Pass        Pass    Skip          Pass    Pass     
boost-dll                  Pass        Pass    Skip          Pass    Pass     
boost-dynamic-bitset       Pass        Pass    Skip          Pass    Pass     
boost-endian               Pass        Pass    Skip          Pass    Pass     
boost-exception            Pass        Pass    Fail          Pass    Pass     
boost-fiber                Pass        Fail    Skip          Fail    Fail     
boost-filesystem           Pass        Fail    Skip          Pass    Pass     
boost-flyweight            Pass        Pass    Skip          Pass    Pass     
boost-foreach              Pass        Pass    Skip          Pass    Pass     
boost-format               Pass        Pass    Pass          Pass    Pass     
boost-function             Pass        Pass    Pass          Pass    Pass     
boost-function-types       Pass        Pass    Pass          Pass    Pass     
boost-functional           Pass        Pass    Pass          Pass    Pass     
boost-fusion               Pass        Pass    Pass          Pass    Pass     
boost-geometry             Pass        Pass    Skip          Pass    Pass     
boost-gil                  Pass        Pass    Pass          Pass    Pass     
boost-graph                Pass        Pass    Skip          Pass    Pass     
boost-graph-parallel       Pass        Pass    Skip          Pass    Pass     
boost-hana                 Pass        Pass    Pass          Pass    Pass     
boost-heap                 Pass        Pass    Pass          Pass    Pass     
boost-icl                  Pass        Pass    Skip          Pass    Pass     
boost-integer              Pass        Pass    Pass          Pass    Pass     
boost-interprocess         Pass        Pass    Skip          Pass    Pass     
boost-interval             Pass        Pass    Pass          Pass    Pass     
boost-intrusive            Pass        Pass    Pass          Pass    Pass     
boost-io                   Pass        Pass    Pass          Pass    Pass     
boost-iostreams            Pass        Fail    Skip          Pass    Pass     
boost-iterator             Pass        Pass    Pass          Pass    Pass     
boost-lambda               Pass        Pass    Pass          Pass    Pass     
boost-lexical-cast         Pass        Pass    Skip          Pass    Pass     
boost-local-function       Pass        Pass    Pass          Pass    Pass     
boost-locale               Pass        Fail    Skip          Fail    Fail     
boost-lockfree             Pass        Pass    Skip          Pass    Pass     
boost-log                  Pass        Fail    Skip          Fail    Fail     
boost-logic                Pass        Pass    Pass          Pass    Pass     
boost-math                 Pass        Pass    Skip          Pass    Pass     
boost-metaparse            Pass        Pass    Pass          Pass    Pass     
boost-modular-build-helper Pass        Pass    Pass          Pass    Pass     
boost-move                 Pass        Pass    Pass          Pass    Pass     
boost-mp11                 Pass        Pass    Pass          Pass    Pass     
boost-mpi                  Skip        Skip    Skip          Skip    Skip     
boost-mpl                  Pass        Pass    Pass          Pass    Pass     
boost-msm                  Pass        Pass    Skip          Pass    Pass     
boost-multi-array          Pass        Pass    Pass          Pass    Pass     
boost-multi-index          Pass        Pass    Skip          Pass    Pass     
boost-multiprecision       Pass        Pass    Skip          Pass    Pass     
boost-numeric-conversion   Pass        Pass    Pass          Pass    Pass     
boost-odeint               Pass        Pass    Skip          Pass    Pass     
boost-optional             Pass        Pass    Pass          Pass    Pass     
boost-parameter            Pass        Pass    Pass          Pass    Pass     
boost-phoenix              Pass        Pass    Skip          Pass    Pass     
boost-poly-collection      Pass        Pass    Skip          Pass    Pass     
boost-polygon              Pass        Pass    Pass          Pass    Pass     
boost-pool                 Pass        Pass    Skip          Pass    Pass     
boost-predef               Pass        Pass    Pass          Pass    Pass     
boost-preprocessor         Pass        Pass    Pass          Pass    Pass     
boost-process              Pass        Pass    Skip          Pass    Pass     
boost-program-options      Pass        Fail    Skip          Pass    Pass     
boost-property-map         Pass        Pass    Skip          Pass    Pass     
boost-property-tree        Pass        Pass    Skip          Pass    Pass     
boost-proto                Pass        Pass    Skip          Pass    Pass     
boost-ptr-container        Pass        Pass    Skip          Pass    Pass     
boost-python               Pass        Skip    Skip          Skip    Skip     
boost-qvm                  Pass        Pass    Skip          Pass    Pass     
boost-random               Pass        Pass    Skip          Pass    Pass     
boost-range                Pass        Pass    Skip          Pass    Pass     
boost-ratio                Pass        Pass    Pass          Pass    Pass     
boost-rational             Pass        Pass    Pass          Pass    Pass     
boost-regex                Pass        Pass    Fail          Pass    Pass     
boost-scope-exit           Pass        Pass    Pass          Pass    Pass     
boost-serialization        Pass        Pass    Skip          Pass    Pass     
boost-signals              Pass        Pass    Fail          Pass    Pass     
boost-signals2             Pass        Pass    Skip          Pass    Pass     
boost-smart-ptr            Pass        Pass    Pass          Pass    Pass     
boost-sort                 Pass        Pass    Skip          Pass    Pass     
boost-spirit               Pass        Pass    Skip          Pass    Pass     
boost-stacktrace           Pass        Fail    Skip          Pass    Pass     
boost-statechart           Pass        Pass    Pass          Pass    Pass     
boost-static-assert        Pass        Pass    Pass          Pass    Pass     
boost-system               Pass        Pass    Fail          Pass    Pass     
boost-test                 Pass        Fail    Skip          Pass    Pass     
boost-thread               Pass        Fail    Skip          Pass    Pass     
boost-throw-exception      Pass        Pass    Pass          Pass    Pass     
boost-timer                Pass        Pass    Skip          Pass    Pass     
boost-tokenizer            Pass        Pass    Pass          Pass    Pass     
boost-tti                  Pass        Pass    Pass          Pass    Pass     
boost-tuple                Pass        Pass    Pass          Pass    Pass     
boost-type-erasure         Pass        Fail    Skip          Pass    Pass     
boost-type-index           Pass        Pass    Pass          Pass    Pass     
boost-type-traits          Pass        Pass    Pass          Pass    Pass     
boost-typeof               Pass        Pass    Pass          Pass    Pass     
boost-ublas                Pass        Pass    Skip          Pass    Pass     
boost-units                Pass        Pass    Skip          Pass    Pass     
boost-unordered            Pass        Pass    Skip          Pass    Pass     
boost-utility              Pass        Pass    Pass          Pass    Pass     
boost-uuid                 Pass        Pass    Skip          Pass    Pass     
boost-variant              Pass        Pass    Skip          Pass    Pass     
boost-vcpkg-helpers        Pass        Pass    Pass          Pass    Pass     
boost-vmd                  Pass        Pass    Pass          Pass    Pass     
boost-wave                 Pass        Fail    Skip          Fail    Pass     
boost-winapi               Pass        Pass    Pass          Pass    Pass     
boost-xpressive            Pass        Pass    Skip          Pass    Pass     
botan                      Pass        Fail    Fail          Fail    Fail     
box2d                      Pass        Pass    Fail          Fail    Fail     
breakpad                   Pass        Skip    Fail          Fail    Fail     
brotli                     Pass        Fail    Pass          Fail    Fail     
brynet                     Pass        Fail    Pass          Fail    Pass     
bullet3                    Pass        Fail    Fail          Pass    Pass     
butteraugli                Pass        Pass    Fail          Pass    Pass     
bzip2                      Pass        Pass    Pass          Pass    Pass     
c-ares                     Pass        Fail    Fail          Pass    Pass     
caf                        Pass        Fail    Skip          Pass    Pass     
caffe2                     Pass        Skip    Skip          Fail    Fail     
cairo                      Pass        Skip    Skip          Skip    Skip     
cairomm                    Pass        Skip    Skip          Skip    Skip     
capstone                   Pass        Pass    Pass          Pass    Pass     
cartographer               Pass        Skip    Skip          Skip    Skip     
catch                      Pass        Pass    Pass          Pass    Pass     
catch-classic              Skip        Skip    Skip          Skip    Skip     
catch2                     Pass        Pass    Pass          Pass    Pass     
cccapstone                 Pass        Pass    Pass          Pass    Pass     
ccd                        Pass        Fail    Pass          Pass    Pass     
ccfits                     Pass        Skip    Pass          Pass    Pass     
cctz                       Pass        Fail    Fail          Fail    Fail     
celero                     Pass        Fail    Pass          Fail    Fail     
cereal                     Pass        Pass    Pass          Pass    Pass     
ceres                      Pass        Skip    Pass          Fail    Fail     
cfitsio                    Pass        Fail    Pass          Pass    Pass     
cgal                       Skip        Skip    Skip          Skip    Skip     
cgicc                      Pass        Fail    Pass          Fail    Fail     
chaiscript                 Pass        Pass    Pass          Pass    Pass     
chakracore                 Pass        Fail    Fail          Fail    Fail     
charls                     Pass        Fail    Pass          Pass    Pass     
chipmunk                   Pass        Fail    Fail          Fail    Fail     
chmlib                     Pass        Fail    Pass          Pass    Pass     
cimg                       Pass        Pass    Pass          Pass    Pass     
